2019-12-08 11:29:38,554 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Logging preferences - Delete old logs: false
2019-12-08 11:29:38,555 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Proxy preferences - Proxy selection mode: 
2019-12-08 11:29:38,555 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Proxy preferences - Proxy host: 
2019-12-08 11:29:38,556 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Proxy preferences - Proxy port: 
2019-12-08 11:29:38,557 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Update preferences - Check on startup: true
2019-12-08 11:29:38,622 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - Java version: 1.8.0_201
2019-12-08 11:29:38,623 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - AppMonitorService: 3.4.0
2019-12-08 11:29:38,623 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - AppPoolClient: 3.4.0
2019-12-08 11:29:38,624 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - Utils: 3.4.0
2019-12-08 11:29:38,624 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - Deployment: 3.4.0
2019-12-08 11:29:38,624 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - Dialogservice: 3.4.0
2019-12-08 11:29:38,625 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - PlatformService: 3.4.0
2019-12-08 11:29:38,625 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - EncryptionClient: 3.4.0
2019-12-08 11:29:38,626 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - LicenseService: 3.4.0
2019-12-08 11:29:38,626 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - LoggingService: 3.4.0
2019-12-08 11:29:38,627 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - PersistService: 3.4.0
2019-12-08 11:29:38,627 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - ManifestDocumentationService: 3.4.0
2019-12-08 11:29:38,627 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - ManifestValidationService: 3.4.0
2019-12-08 11:29:38,628 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-29-33-730 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:543] AppStudio component version - AppSpaceComponents - OidcClient: 3.4.0
