2019-12-08 11:28:14,084 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.LifeCycleManager [LifeCycleManager.java:407] Running AppStudio instances: 3
2019-12-08 11:28:16,584 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.LifeCycleManager [LifeCycleManager.java:452] ## AS-STATUS ## AppStudio startup
2019-12-08 11:28:16,586 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio version: 3.0.0
2019-12-08 11:28:16,588 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio Install-ID: 2019-12-08--11-28-12-672
2019-12-08 11:28:16,589 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio Instance-ID: 2019-12-08--11-28-12-672
2019-12-08 11:28:16,665 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio License is valid
2019-12-08 11:28:16,672 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## AppStudio License Information - Name: Michael Lorens, Company: HFU Hochschule Furtwangen, Expiration: 2020-02-29, Type: trial
2019-12-08 11:28:17,746 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## MAC address: c8-5b-76-bf-e3-30
2019-12-08 11:28:17,746 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## CPU info: Intel64 Family 6 Model 142 Stepping 9, GenuineIntel, architecture: AMD64, number CPUs: 4
2019-12-08 11:28:17,747 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## OS info: Windows 10, architecture: amd64, version: 10.0
2019-12-08 11:28:17,748 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## Disk space (bytes): 107345866752
2019-12-08 11:28:17,749 | 2019-12-08--11-28-12-672 | <AppStudio> | c8-5b-76-bf-e3-30 | 2019-12-08--11-28-12-672 | INFO  | Thread-7 | de.sick.appstudio.utils.Logging [Logging.java:162] ## AS-STATUS ## JVM max memory (bytes): 1886912512
